Contigs	mean_blastx
NODE_1005_length_702_cov_5.016000_Ba20_KC_P03	44.24
NODE_1005_length_703_cov_2.356230_Ed20_KC_P18	54.112
NODE_1005_length_706_cov_2.451510_Bu20_KC_P30	46.952
NODE_1005_length_720_cov_0.964230_Ba20_KC_P01	84.94
NODE_1005_length_745_cov_1.687126_Bu20_KC_P39	49.876
NODE_1005_length_812_cov_4.869388_Ba20_KC_P05	63.444
NODE_1006_length_508_cov_33.354988_Ed20_KC_P21	58.1
NODE_1006_length_550_cov_1.046512_Ya20_KC_P43	27.65
NODE_1006_length_550_cov_9.073996_Ya20_KC_P49	79.5
NODE_1006_length_553_cov_1.279412_Bu20_KC_P41	35.65
NODE_1006_length_555_cov_3.707113_Bu20_KC_P35	31.224
NODE_1006_length_572_cov_4.070707_Bu20_KC_P37	96.8
NODE_1006_length_579_cov_16.205179_Ed20_KC_P20	69.1333333333333
NODE_1006_length_582_cov_1.960396_Ba20_KC_P09	63.088
NODE_1006_length_599_cov_1.166667_Bu20_KC_P34	63.056
NODE_1006_length_601_cov_2.664122_Ya20_KC_P53	81.8
NODE_1006_length_602_cov_1.558095_Ba20_KC_P08	50.08
NODE_1006_length_622_cov_1.772477_Ya20_KC_P45	47.732
NODE_1006_length_641_cov_1.269504_Ya20_KC_P44	50.768
NODE_1006_length_643_cov_2.388693_Bu20_KC_P32	34.756
NODE_1006_length_652_cov_1.685217_Ya20_KC_P56	64.764
NODE_1006_length_658_cov_3.111876_Ed20_KC_P26	33.408
NODE_1006_length_670_cov_1.924115_Ya20_KC_P52	58.5125
NODE_1006_length_675_cov_2.448161_Bu20_KC_P42	53.08
NODE_1006_length_681_cov_1.842715_Ba20_KC_P07	47.364
NODE_1006_length_690_cov_4.608483_Ya20_KC_P54	50.648
NODE_1006_length_693_cov_1.237013_Ed20_KC_P25	66.592
NODE_1006_length_701_cov_1.517628_Ed20_KC_P24	45.26
NODE_1006_length_702_cov_4.961600_Ba20_KC_P03	55.868
NODE_1006_length_703_cov_2.319489_Ed20_KC_P18	33.74
NODE_1006_length_706_cov_1.815580_Bu20_KC_P30	49.284
NODE_1006_length_731_cov_4.675841_Ya20_KC_P47	54.832
NODE_1006_length_745_cov_1.345808_Bu20_KC_P39	38.828
NODE_1007_length_507_cov_1.251163_Ya20_KC_P46	47.756
NODE_1007_length_519_cov_3.769231_Ba20_KC_P14	50.608
NODE_1007_length_542_cov_1.909677_Ed20_KC_P23	47.42
NODE_1007_length_550_cov_0.904863_Ya20_KC_P43	63.752
NODE_1007_length_550_cov_5.099366_Ya20_KC_P49	52.56
NODE_1007_length_555_cov_3.451883_Bu20_KC_P35	56.776
NODE_1007_length_565_cov_2.590164_Bu20_KC_P29	39.528
NODE_1007_length_579_cov_4.709163_Ed20_KC_P20	90.8
NODE_1007_length_588_cov_3.602740_Ba20_KC_P04	47.848
NODE_1007_length_599_cov_0.996169_Bu20_KC_P34	88.1
NODE_1007_length_601_cov_2.337786_Ya20_KC_P53	60.932
NODE_1007_length_602_cov_1.099048_Ba20_KC_P08	69.872
NODE_1007_length_609_cov_1.644737_Ed20_KC_P15	41.144
NODE_1007_length_618_cov_0.966728_Bu20_KC_P40	68.54
NODE_1007_length_622_cov_1.438532_Ya20_KC_P45	68.784
NODE_1007_length_638_cov_13.625668_Ba20_KC_P06	48.376
NODE_1007_length_640_cov_3.586146_Ya20_KC_P44	40.4125
NODE_1007_length_643_cov_1.720848_Bu20_KC_P32	31.664
NODE_1007_length_658_cov_2.984509_Ed20_KC_P26	54.34
NODE_1007_length_670_cov_1.340641_Ya20_KC_P52	53.628
NODE_1007_length_675_cov_2.306020_Bu20_KC_P42	63.372
NODE_1007_length_681_cov_1.802980_Ba20_KC_P07	33.128
NODE_1007_length_693_cov_1.019481_Ed20_KC_P25	65.68
NODE_1007_length_700_cov_7.499197_Ed20_KC_P24	58.22
NODE_1007_length_702_cov_4.424000_Ba20_KC_P03	47.888
NODE_1007_length_703_cov_2.198083_Ed20_KC_P18	34.488
NODE_1007_length_705_cov_3.135350_Bu20_KC_P30	49.932
NODE_1007_length_731_cov_3.273700_Ya20_KC_P47	55.908
NODE_1007_length_745_cov_1.317365_Bu20_KC_P39	67.12
NODE_1008_length_506_cov_7.016317_Ya20_KC_P46	49.6227272727273
NODE_1008_length_516_cov_2.029613_Ba20_KC_P02	53.164
NODE_1008_length_519_cov_2.441176_Ba20_KC_P14	62.584
NODE_1008_length_544_cov_2.357602_Bu20_KC_P31	39.284
NODE_1008_length_550_cov_0.826638_Ya20_KC_P43	47.948
NODE_1008_length_555_cov_2.223849_Bu20_KC_P35	59.4
NODE_1008_length_565_cov_2.069672_Bu20_KC_P29	41.896
NODE_1008_length_572_cov_2.119192_Bu20_KC_P37	45.108
NODE_1008_length_579_cov_4.601594_Ed20_KC_P20	57.696
NODE_1008_length_581_cov_2.748016_Ed20_KC_P19	34.22
NODE_1008_length_601_cov_2.303435_Ya20_KC_P53	92.952
NODE_1008_length_602_cov_0.782857_Ba20_KC_P08	40.768
NODE_1008_length_609_cov_1.577068_Ed20_KC_P15	28.988
NODE_1008_length_614_cov_1.947858_Bu20_KC_P36	55.0941176470588
NODE_1008_length_621_cov_5.382353_Ya20_KC_P45	49.104
NODE_1008_length_638_cov_3.065954_Ba20_KC_P06	55.35
NODE_1008_length_640_cov_3.547069_Ya20_KC_P44	50.56
NODE_1008_length_643_cov_1.623675_Bu20_KC_P32	33.5
NODE_1008_length_651_cov_4.837979_Ya20_KC_P56	51.04
NODE_1008_length_658_cov_1.445783_Ed20_KC_P26	50.58
NODE_1008_length_670_cov_1.266442_Ya20_KC_P52	39.62
NODE_1008_length_675_cov_1.959866_Bu20_KC_P42	48.212
NODE_1008_length_681_cov_1.735099_Ba20_KC_P07	52.536
NODE_1008_length_690_cov_2.000000_Ya20_KC_P54	70.696
NODE_1008_length_700_cov_3.011236_Ed20_KC_P24	49.98
NODE_1008_length_702_cov_3.444800_Ba20_KC_P03	68.016
NODE_1008_length_703_cov_2.087859_Ed20_KC_P18	42.464
NODE_1008_length_705_cov_2.181529_Bu20_KC_P30	32.324
NODE_1008_length_719_cov_2.856698_Ba20_KC_P01	36.8
NODE_1008_length_745_cov_1.148204_Bu20_KC_P39	56.732
NODE_1009_length_506_cov_2.167832_Ya20_KC_P46	36.3923076923077
NODE_1009_length_516_cov_1.198178_Ba20_KC_P02	58.54
NODE_1009_length_519_cov_2.058824_Ba20_KC_P14	53.124
NODE_1009_length_542_cov_1.569892_Ed20_KC_P23	91.66
NODE_1009_length_544_cov_1.389722_Bu20_KC_P31	84.3909090909091
NODE_1009_length_549_cov_4.908898_Ya20_KC_P43	47.716
NODE_1009_length_550_cov_2.473573_Ya20_KC_P49	45.588
NODE_1009_length_557_cov_4.175000_Ed20_KC_P16	65.2
NODE_1009_length_565_cov_1.817623_Bu20_KC_P29	38.356
NODE_1009_length_579_cov_3.340637_Ed20_KC_P20	35.6
NODE_1009_length_581_cov_1.944444_Ed20_KC_P19	32.772
NODE_1009_length_582_cov_1.758416_Ba20_KC_P09	62.196
NODE_1009_length_586_cov_2.797642_Ed20_KC_P17	45.7
NODE_1009_length_598_cov_100.220729_Bu20_KC_P34	71.76
NODE_1009_length_608_cov_5.903955_Ed20_KC_P15	44.332
NODE_1009_length_614_cov_1.940410_Bu20_KC_P36	42.708
NODE_1009_length_617_cov_3.612963_Bu20_KC_P40	37.4
NODE_1009_length_621_cov_3.501838_Ya20_KC_P45	56.408
NODE_1009_length_640_cov_1.783304_Ya20_KC_P44	42.58
NODE_1009_length_642_cov_25.630088_Bu20_KC_P32	79.96
NODE_1009_length_651_cov_2.207317_Ya20_KC_P56	33.528
NODE_1009_length_658_cov_1.304647_Ed20_KC_P26	65.612
NODE_1009_length_669_cov_3.657095_Ya20_KC_P52	39.288
NODE_1009_length_675_cov_1.722408_Bu20_KC_P42	52.64
NODE_1009_length_680_cov_17.149254_Ba20_KC_P07	44.224
NODE_1009_length_690_cov_1.438825_Ya20_KC_P54	45.524
NODE_1009_length_692_cov_4.560976_Ed20_KC_P25	52.22
NODE_1009_length_700_cov_2.452648_Ed20_KC_P24	40.204
NODE_1009_length_702_cov_3.284800_Ba20_KC_P03	62.176
NODE_1009_length_703_cov_1.717252_Ed20_KC_P18	69.748
NODE_1009_length_719_cov_2.031153_Ba20_KC_P01	53.74
NODE_1009_length_745_cov_1.125749_Bu20_KC_P39	73.32
NODE_100_length_1044_cov_11.887280_Bu20_KC_P31	90.5
NODE_100_length_1076_cov_2.613614_Bu20_KC_P29	51.124
NODE_100_length_1085_cov_3.532738_Ba20_KC_P01	52.964
NODE_100_length_1087_cov_2.072277_Ed20_KC_P16	53.34
NODE_100_length_1087_cov_2.539604_Bu20_KC_P37	34.704
NODE_100_length_1092_cov_1.782266_Ya20_KC_P51	63.592
NODE_100_length_1094_cov_1.533923_Ed20_KC_P19	56.752
NODE_100_length_1095_cov_3.672888_Ya20_KC_P55	43.844
NODE_100_length_1102_cov_13.976585_Bu20_KC_P41	96.9
NODE_100_length_1111_cov_12.467118_Ed20_KC_P17	45.94
NODE_100_length_1113_cov_69.263514_Ya20_KC_P45	38.528
NODE_100_length_1134_cov_5.393567_Ed20_KC_P20	44.896
NODE_100_length_1137_cov_8.966981_Ya20_KC_P53	63.752
NODE_100_length_1144_cov_3.761012_Ya20_KC_P44	46.688
NODE_100_length_1152_cov_3.159070_Ba20_KC_P03	51.5
NODE_100_length_1157_cov_1.979630_Bu20_KC_P36	53.468
NODE_100_length_1160_cov_1.488458_Ba20_KC_P07	63.632
NODE_100_length_1175_cov_3.967213_Bu20_KC_P40	50.56
NODE_100_length_1213_cov_6.237676_Bu20_KC_P32	77.4142857142857
NODE_100_length_1227_cov_35.046087_Ya20_KC_P56	71.392
NODE_100_length_1241_cov_4.343643_Ya20_KC_P54	46.256
NODE_100_length_1249_cov_2.854949_Ba20_KC_P05	32.748
NODE_100_length_1249_cov_3.258532_Ya20_KC_P52	48.544
NODE_100_length_1258_cov_3.565622_Bu20_KC_P42	48.468
NODE_100_length_1274_cov_8.984127_Bu20_KC_P30	47.64
NODE_100_length_1308_cov_15.552396_Ed20_KC_P18	48.684
NODE_100_length_1357_cov_7.592969_Bu20_KC_P39	36.6
NODE_100_length_599_cov_1.281609_Ba20_KC_P11	46.144
NODE_100_length_650_cov_3.652705_Ba20_KC_P12	39.704
NODE_100_length_731_cov_1.868502_Ba20_KC_P10	47.216
NODE_100_length_775_cov_1.462751_Ba20_KC_P14	50.376
NODE_100_length_869_cov_3.872475_Ba20_KC_P09	43.212
NODE_100_length_871_cov_1.546599_Ba20_KC_P04	54.6
NODE_100_length_903_cov_34.749395_Ya20_KC_P48	43.416
NODE_100_length_914_cov_3.364397_Ya20_KC_P50	73.825
NODE_100_length_934_cov_13.379230_Ed20_KC_P21	80.82
NODE_100_length_962_cov_1.638418_Ya20_KC_P46	39.9
NODE_100_length_981_cov_3.435841_Ba20_KC_P06	49.132
NODE_100_length_984_cov_7.957001_Ba20_KC_P08	41.252
NODE_1010_length_519_cov_1.977376_Ba20_KC_P14	55.68
NODE_1010_length_542_cov_1.232258_Ed20_KC_P23	52.268
NODE_1010_length_544_cov_1.169165_Bu20_KC_P31	53.344
NODE_1010_length_549_cov_4.156780_Ya20_KC_P43	38.228
NODE_1010_length_550_cov_1.896406_Ya20_KC_P49	53.96
NODE_1010_length_557_cov_3.770833_Ed20_KC_P16	35.224
NODE_1010_length_565_cov_1.758197_Bu20_KC_P29	50.424
NODE_1010_length_572_cov_1.731313_Bu20_KC_P37	45.23125
NODE_1010_length_575_cov_6.489960_Ya20_KC_P55	32.888
NODE_1010_length_581_cov_1.436508_Ed20_KC_P19	40.616
NODE_1010_length_582_cov_1.609901_Ba20_KC_P09	44.54
NODE_1010_length_601_cov_1.238550_Ya20_KC_P53	46.58
NODE_1010_length_608_cov_2.883239_Ed20_KC_P15	49.952
NODE_1010_length_614_cov_1.571695_Bu20_KC_P36	44.244
NODE_1010_length_617_cov_2.400000_Bu20_KC_P40	90.7
NODE_1010_length_621_cov_2.459559_Ya20_KC_P45	48.704
NODE_1010_length_638_cov_1.809269_Ba20_KC_P06	58.616
NODE_1010_length_640_cov_1.628774_Ya20_KC_P44	51.084
NODE_1010_length_651_cov_1.219512_Ya20_KC_P56	58.6833333333333
NODE_1010_length_669_cov_1.422297_Ya20_KC_P52	50.72
NODE_1010_length_680_cov_3.472637_Ba20_KC_P07	44.048
NODE_1010_length_692_cov_3.465041_Ed20_KC_P25	48.188
NODE_1010_length_702_cov_2.841600_Ba20_KC_P03	53.484
NODE_1010_length_703_cov_1.501597_Ed20_KC_P18	54.384
NODE_1010_length_704_cov_6.323764_Bu20_KC_P30	47.375
NODE_1010_length_719_cov_1.024922_Ba20_KC_P01	60.588
NODE_1010_length_731_cov_2.400612_Ya20_KC_P47	39.812
NODE_1010_length_744_cov_16.056972_Bu20_KC_P39	93.8
NODE_1010_length_811_cov_4.558583_Ba20_KC_P05	50.54
NODE_1011_length_506_cov_1.587413_Ya20_KC_P46	61.688
NODE_1011_length_519_cov_1.950226_Ba20_KC_P14	54.424
NODE_1011_length_544_cov_1.006424_Bu20_KC_P31	65.988
NODE_1011_length_549_cov_4.088983_Ya20_KC_P43	40.016
NODE_1011_length_550_cov_1.340381_Ya20_KC_P49	61
NODE_1011_length_555_cov_1.608787_Bu20_KC_P35	55.6
NODE_1011_length_557_cov_2.904167_Ed20_KC_P16	80.0666666666667
NODE_1011_length_565_cov_1.479508_Bu20_KC_P29	38.792
NODE_1011_length_572_cov_0.591919_Bu20_KC_P37	57.4666666666667
NODE_1011_length_575_cov_6.128514_Ya20_KC_P55	90.6
NODE_1011_length_579_cov_0.800797_Ed20_KC_P20	32.464
NODE_1011_length_582_cov_1.419802_Ba20_KC_P09	33.476
NODE_1011_length_586_cov_1.003929_Ed20_KC_P17	55.456
NODE_1011_length_588_cov_2.164384_Ba20_KC_P04	47.46
NODE_1011_length_598_cov_2.614203_Bu20_KC_P34	58.944
NODE_1011_length_601_cov_1.185115_Ya20_KC_P53	65.116
NODE_1011_length_601_cov_2.198473_Ba20_KC_P08	49.2
NODE_1011_length_617_cov_1.966667_Bu20_KC_P40	38.568
NODE_1011_length_640_cov_1.511545_Ya20_KC_P44	62.044
NODE_1011_length_642_cov_3.994690_Bu20_KC_P32	97.1
NODE_1011_length_651_cov_1.008711_Ya20_KC_P56	32.204
NODE_1011_length_674_cov_9.289782_Bu20_KC_P42	90.2
NODE_1011_length_692_cov_2.186992_Ed20_KC_P25	37.736
NODE_1011_length_700_cov_1.486356_Ed20_KC_P24	37.632
NODE_1011_length_702_cov_2.472000_Ba20_KC_P03	52.508
NODE_1011_length_704_cov_3.004785_Bu20_KC_P30	52.376
NODE_1011_length_718_cov_4.266771_Ba20_KC_P01	34.3130434782609
NODE_1011_length_731_cov_1.998471_Ya20_KC_P47	48.56
NODE_1011_length_811_cov_4.501362_Ba20_KC_P05	49.632
NODE_1012_length_507_cov_3.795349_Ed20_KC_P21	54.912
NODE_1012_length_519_cov_1.846154_Ba20_KC_P14	60.72
NODE_1012_length_548_cov_1.471338_Bu20_KC_P33	47.7
NODE_1012_length_549_cov_3.512712_Ya20_KC_P43	36.076
NODE_1012_length_575_cov_5.718876_Ya20_KC_P55	79.04
NODE_1012_length_580_cov_7.588469_Ya20_KC_P51	35.0333333333333
NODE_1012_length_581_cov_1.043651_Ed20_KC_P19	49.492
NODE_1012_length_582_cov_1.077228_Ba20_KC_P09	74.132
NODE_1012_length_586_cov_0.958743_Ed20_KC_P17	57.488
NODE_1012_length_588_cov_1.610568_Ba20_KC_P04	58.368
NODE_1012_length_598_cov_2.554702_Bu20_KC_P34	65.456
NODE_1012_length_600_cov_2.783939_Ya20_KC_P53	97.248
NODE_1012_length_608_cov_1.659134_Ed20_KC_P15	50.384
NODE_1012_length_614_cov_1.117318_Bu20_KC_P36	58.616
NODE_1012_length_616_cov_3.797774_Bu20_KC_P40	36.6
NODE_1012_length_621_cov_1.569853_Ya20_KC_P45	34.576
NODE_1012_length_640_cov_1.120782_Ya20_KC_P44	44.16
NODE_1012_length_657_cov_2.765517_Ed20_KC_P26	59.844
NODE_1012_length_689_cov_2.202614_Ya20_KC_P54	54.548
NODE_1012_length_692_cov_1.697561_Ed20_KC_P25	38.9
NODE_1012_length_700_cov_1.433387_Ed20_KC_P24	43.428
NODE_1012_length_702_cov_2.048000_Ba20_KC_P03	53.644
